filter,moType,attributes
LTE01,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE02,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE03,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE04,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE05,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE06,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE07,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE08,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE09,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE10,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE21,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE22,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE23,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE24,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE25,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE26,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell,pmRrcConnReestAttQci,pmRlcPollRetxUl,pmS1SigConnEstabFailMmeOvlMos"
LTE30,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell"
LTE31,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell"
LTE32,EUtranCellFDD,"userLabel,administrativeState,pmZtemporary9,pmRadioUeRepRankDistr,externalCdma20001xRttCellRef,dynCellSubscrCap,measuredMaxNoOfUsersInCell"
